0,1,20,-,Is the actor a man?
1,11,2,-,Is he nominated for best actor?
2,3,8,-,Is he over 50 years old?
3,4,39,-,Is he American?
4,6,5,-,Is he a deaf actor?
5,0,51,JK Simmons,DO YOU WANT TO PLAY AGAIN?
6,0,51,Troy Kotsur,DO YOU WANT TO PLAY AGAIN?
7,0,51,Ciaran Hinds,DO YOU WANT TO PLAY AGAIN?
8,9,10,-,Does he have a child?
9,0,51,Jesse Plemons,DO YOU WANT TO PLAY AGAIN?
10,0,51,Kodi Smit Mcphee,DO YOU WANT TO PLAY AGAIN?
11,19,12,-,Did he smack chris rock?
12,13,17,-,Has he won the oscars?
13,15,14,-,Has he won the oscars more than once?
14,0,51,Javier Bardem,DO YOU WANT TO PLAY AGAIN?
15,0,51,Denzel Washington,DO YOU WANT TO PLAY AGAIN?
16,0,51,Benedict Cumberbatch,DO YOU WANT TO PLAY AGAIN?
17,18,42,-,Was he rejected a role for not being handsome enough?
18,0,51,Andrew Garfield,DO YOU WANT TO PLAY AGAIN?
19,0,51,Will Smith,DO YOU WANT TO PLAY AGAIN?
20,21,30,-,Is she nominated for best supporting actress?
21,29,22,-,Is she queer?
22,28,23,-,Has she been nominated more than 5 times?
23,27,24,-,Was she a contestant on BBC TV Talent Show?
24,26,45,-,Is her zodiac sign pisces?
25,0,51,Kirsten Dunst,DO YOU WANT TO PLAY AGAIN?
26,0,51,Aunjanue Ellis,DO YOU WANT TO PLAY AGAIN?
27,0,51,Jessie Buckley,DO YOU WANT TO PLAY AGAIN?
28,0,51,Judi Dench,DO YOU WANT TO PLAY AGAIN?
29,0,51,Ariana DeBose,DO YOU WANT TO PLAY AGAIN?
30,37,31,-,Did she have a relationship with Tom Cruise?
31,33,48,-,Has she won an oscar?
32,0,51,Kristen Stewart,DO YOU WANT TO PLAY AGAIN?
33,35,34,-,Did she drop out of high school?
34,0,51,Olivia Colman,DO YOU WANT TO PLAY AGAIN?
35,0,51,Jessica Chastain,DO YOU WANT TO PLAY AGAIN?
36,0,51,Penelope Cruz,DO YOU WANT TO PLAY AGAIN?
37,36,38,-,Is she married to an oscar winner?
38,0,51,Nicole Kidman,DO YOU WANT TO PLAY AGAIN?
39,40,41,-,Can i have another question?
40,7,4,-,Did he act in Excalibur?
41,7,39,-,Are you sure?
42,44,43,-,Can i have another question?
43,16,42,-,Are you sure?
44,16,17,-,Did he play Dr Strange?
45,47,46,-,Can i have another question?
46,25,45,-,Are you sure?
47,25,24,-,Did she act in spiderman with Tobey Maguire?
48,50,49,-,Can i have another question?
49,32,48,-,Are you sure?
50,32,31,-,Did she act in Twilight?
51,-1,-1,THAT IS THE END OF THE GAME, -